ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-04-24T08:57:47.268-04:00,MTA NYCT_9482,40.756649,-73.97646,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:57:47.268-04:00,MTA NYCT_9578,40.742135,-73.987032,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-24T08:57:47.268-04:00,MTA NYCT_9488,40.755382,-73.979496,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:57:47.268-04:00,MTA NYCT_9583,40.800158,-73.946818,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:57:47.268-04:00,MTA NYCT_9499,40.738865,-73.991534,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9498,40.720696,-73.997726,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9573,40.768828,-73.967584,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9477,40.770291,-73.968613,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9489,40.764482,-73.972865,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9462,40.821272,-73.936133,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9490,40.780605,-73.961086,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9582,40.7311,-73.990429,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9575,40.749493,-73.981692,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9473,40.731755,-73.995179,LIMITED SOHO CENTRE ST via 5 AV/BROADWAY,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9484,40.75371,-73.980712,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-24T08:58:18.013-04:00,MTA NYCT_9586,40.821593,-73.9369,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-24T08:58:18.013-04:00,MTA NYCT_9469,40.80659,-73.940012,HARLEM 147 ST via MADISON AV,MTA_400080
